OverallQual,GrLivArea,GarageArea,TotalBsmtSF,YearBuilt,YearRemodAdd,KitchenQual,GarageFinish,SalePrice
10,2076,850,2076,2006,2006,4,0,465000
8,1517,400,792,1929,1950,3,1,230000
6,1868,477,585,1984,2003,2,3,178000
7,1553,615,756,2005,2006,3,2,186500
6,1034,888,1012,1976,1976,2,1,169900
6,2058,396,735,1917,1950,2,1,129500
5,988,276,876,1950,1950,2,1,119000
7,2110,522,2110,1968,1968,4,3,244000
7,1405,478,1405,2003,2003,3,2,171750
5,874,288,864,1968,1968,2,2,130000
7,2167,518,1192,1974,2003,3,2,294000
7,1656,397,746,2003,2004,3,3,165400
6,1367,560,884,1931,1950,2,0,127500
8,1987,691,1986,1994,1994,3,3,301500
5,864,0,864,1922,1950,2,0,99900
7,1166,400,856,2005,2005,3,3,190000
6,1054,460,1054,1969,1969,2,1,151000
6,1675,502,841,1999,1999,2,3,181000
5,1050,338,1050,1956,1956,2,1,128900
4,1788,304,1104,1957,1989,2,1,161500
6,1824,520,764,1919,1950,2,1,180500
6,1337,511,1405,1998,1999,3,3,181000
7,1452,506,691,1999,1999,3,1,183900
7,1889,308,925,1910,1950,2,1,122000
9,2018,746,2002,2008,2009,4,3,378500
8,3447,1014,728,1935,1997,3,0,381000
5,1524,315,874,1958,1958,2,1,144000
7,1524,586,1332,1979,1979,3,3,260000
6,1489,462,1489,1968,1968,3,2,185750
5,935,288,935,1965,1965,2,1,137000
6,1357,312,1019,1959,2006,4,2,177000
5,1250,552,661,1910,2003,2,1,139000
5,1920,400,928,1948,1950,2,0,137000
6,1395,497,723,1972,1972,2,1,162000
6,1724,480,1680,1967,1976,2,2,197900
8,2031,577,1128,2002,2002,3,0,237000
4,1128,528,698,1920,1950,2,2,68400
7,1573,544,1573,2002,2002,3,2,227000
7,1339,484,1309,1990,1990,2,3,180000
5,1040,484,1040,1977,2008,3,1,150500
6,1824,0,912,1971,1971,2,0,139000
6,2447,336,804,1919,1990,3,1,169000
6,1412,280,780,1939,1950,2,1,132500
6,1328,528,1328,1963,1963,2,1,143000
5,1582,390,1624,1964,1964,2,1,190000
8,1659,499,1501,2000,2000,4,3,278000
8,1970,753,1085,2006,2006,4,3,281000
5,1152,484,1152,1964,1964,2,2,180500
5,1302,264,630,1972,1972,2,1,119500
5,2372,432,994,1892,1965,2,2,107500
7,1664,528,832,1976,1976,2,2,162900
5,864,572,864,1955,1990,2,1,115000
5,1052,288,1052,1968,1968,2,2,138500
5,1128,525,1120,1963,1963,2,2,155000
6,1072,525,547,2005,2006,2,3,140000
10,5642,1418,6110,2008,2008,4,3,160000
5,1246,305,1246,1959,1994,3,2,154000
7,1983,490,978,1999,1999,3,3,225000
6,1494,213,771,1942,1950,3,1,177500
8,2526,844,1165,1994,1994,3,0,290000
7,1616,834,1616,2005,2005,3,2,232000
7,1708,380,976,2004,2004,3,0,130000
9,1652,840,1652,2006,2007,4,3,325000
7,1368,474,1368,2005,2006,3,2,202500
5,990,480,990,1994,1995,2,1,138000
5,1122,528,924,1948,2005,3,1,147000
6,1294,496,1278,1991,1991,3,0,179200
7,1902,567,1902,1959,2002,4,3,335000
7,1274,508,1274,2005,2007,3,0,203000
8,2810,750,1453,1990,1990,3,2,302000
9,2599,779,1393,1999,1999,3,3,333168
4,948,280,948,1954,1954,2,0,119000
6,2112,576,952,1969,1969,2,1,206900
8,1630,860,1622,2008,2008,4,2,295493
7,1352,466,1352,2006,2007,3,0,208900
8,1787,748,1753,2001,2002,3,2,275000
4,948,248,864,1954,1954,2,1,111000
6,1478,442,1478,1957,1957,2,2,156500
3,720,287,0,1949,1950,2,1,72500
7,1923,564,750,1992,1992,3,2,190000
4,708,0,420,1940,1950,1,0,82500
8,1795,895,1795,2006,2007,3,2,147000
4,796,0,796,1922,1950,2,0,55000
3,774,0,544,1931,2006,3,0,79000
5,816,264,816,1982,2008,3,1,130500
6,2792,520,1510,1920,1950,2,1,256000
7,1632,462,935,1998,1998,2,3,176500
8,1588,825,1588,2006,2006,3,0,227000
5,954,576,911,1976,1976,2,1,132500
4,816,288,816,1938,1958,2,1,100000
5,1360,297,803,1938,1995,3,0,125500
5,1365,440,765,1970,1970,2,1,125000
6,1334,630,1350,1977,1977,2,2,167900
5,1656,506,1656,1973,1973,2,1,135000
4,693,0,693,1941,1950,1,0,52500
7,1861,492,916,2002,2002,3,2,200000
5,864,288,864,1972,1972,2,2,128500
4,872,480,858,1971,1971,2,1,123000
6,1114,576,1114,2003,2004,3,1,155000
8,2169,647,1284,2002,2002,3,2,228500
6,1913,342,896,1928,1950,2,0,177000
7,1456,440,728,2006,2006,3,3,155835
4,960,308,960,1920,1950,1,1,108500
7,2156,508,1568,1968,2003,2,2,262500
8,1776,712,1732,2006,2007,3,3,283463
7,1494,514,1482,1998,1998,3,2,215000
8,2358,0,684,1872,1987,2,0,122000
5,2634,968,1248,1969,1969,2,0,200000
6,1716,490,858,1962,1962,2,3,171000
6,1176,624,698,1937,2000,2,1,134900
8,3238,666,2033,1995,1996,3,3,410000
7,1865,839,992,2000,2000,3,0,235000
7,1920,487,570,1968,1992,3,2,170000
5,892,264,864,1966,1966,2,2,110000
5,1078,500,1078,1971,2008,2,3,149900
6,1573,440,756,2000,2000,3,1,177500
9,1980,770,1980,2004,2005,4,3,315000
5,2601,621,612,1921,1998,2,2,189000
7,1530,430,1530,2005,2005,3,3,260000
4,1738,368,715,1920,2007,2,1,104900
6,1412,432,616,2006,2007,3,3,156932
7,1200,480,600,2005,2005,3,2,144152
7,1674,663,814,2000,2000,3,2,216000
7,1790,588,873,1999,1999,3,2,193000
5,1475,336,757,1977,1977,2,2,127000
6,848,420,848,2003,2004,3,3,144000
8,1668,502,1657,2003,2003,3,3,232000
4,1374,338,840,1920,1950,2,3,105000
6,1661,377,992,1955,1996,3,2,165500
7,2097,583,1108,1998,1998,3,2,274300
10,2633,804,2633,2001,2002,4,2,466500
7,1958,936,1026,2005,2005,3,3,250000
8,1571,722,1571,2007,2007,3,3,239000
6,790,160,768,1930,1950,2,1,91000
5,1604,660,984,1941,1960,2,1,117000
6,987,264,483,1973,1973,2,1,83000
5,1394,400,384,2006,2007,3,3,167500
3,864,200,864,1914,1950,2,1,58500
6,2117,550,1205,1970,1970,2,3,237500
7,1762,576,596,1920,1950,3,1,157000
5,1416,576,816,1918,2007,3,1,112000
6,1258,280,560,1939,1950,2,1,105000
4,1154,240,796,1922,2007,3,1,125500
7,2784,564,1392,1978,1978,3,2,250000
6,2526,216,714,1916,1950,3,1,136000
9,1746,758,1746,2006,2007,4,3,377500
6,1218,440,735,1941,1950,2,1,131000
7,1525,541,1525,2000,2000,3,2,235000
5,1584,792,1584,1967,1967,2,1,124000
5,900,288,864,1967,1967,2,2,123000
6,1912,672,482,1905,2000,2,1,163000
7,1500,648,1356,2006,2006,3,3,246578
8,2482,642,1094,2005,2006,3,3,281213
5,1687,572,747,1948,1950,2,0,160000
5,1513,180,939,1920,2004,2,1,137500
5,1904,240,1208,1950,1982,2,1,138000
6,1608,216,976,1925,1990,3,1,137450
6,1158,208,862,1929,1950,2,2,120000
6,1593,398,839,2004,2004,2,0,193000
7,1294,662,1286,2006,2006,3,2,193879
8,1464,754,1485,2007,2007,3,1,282922
3,1214,936,672,1915,1950,2,1,105000
8,1646,482,1594,2004,2005,3,3,275000
5,768,396,768,1972,2007,2,1,133000
5,833,0,833,1985,1985,2,0,112000
4,1363,528,622,1910,1950,2,1,125500
7,2093,542,791,1986,1991,2,3,215000
7,1840,622,944,2001,2001,3,2,230000
6,1668,271,856,1950,2005,2,1,140000
4,1040,420,0,1949,1950,2,1,90000
8,1844,620,1844,2005,2006,3,3,257000
6,1848,370,833,1923,2000,3,1,207000
7,1569,660,1386,2007,2007,3,0,175900
4,2290,560,777,1885,1950,2,1,122500
8,2450,1069,1284,1998,1998,3,3,340000
5,1144,336,1144,1963,1963,2,1,124000
6,1844,540,1844,1969,1969,3,2,223000
6,1416,776,708,1968,1968,2,2,179900
6,1069,440,1069,1977,1977,2,2,127500
6,848,420,848,2003,2003,3,3,136500
6,2201,432,697,1966,1966,3,1,274970
5,1344,484,1024,1958,1983,2,1,144000
6,1252,528,1252,1959,1959,3,1,142000
7,2127,525,1223,1994,1994,3,2,271000
5,1558,288,913,1945,1950,2,1,140000
5,804,240,788,1940,1992,3,1,119000
6,1440,467,1440,1981,1981,3,3,182900
5,1838,372,732,2005,2005,2,3,192140
6,958,440,958,1976,1976,2,2,143750
4,968,216,656,1927,2007,2,1,64500
6,1792,451,936,2000,2000,2,3,186500
5,1126,484,1126,1977,1977,2,2,160000
6,1537,462,1319,1962,2005,3,2,174000
4,864,528,864,1971,1971,2,1,120500
8,1932,774,1932,2008,2008,4,3,394617
6,1236,923,912,1957,1996,2,0,149700
7,1725,550,539,1979,1979,2,2,197000
6,2555,672,588,1922,1994,2,3,191000
6,848,420,848,2004,2004,3,2,149300
10,2007,812,1017,2008,2008,4,0,310000
6,952,192,952,1916,1950,1,1,121000
7,1422,626,1422,2004,2004,3,2,179600
6,913,240,814,1966,1966,2,1,129000
5,1188,312,1188,1962,1962,2,1,157900
8,2090,556,1220,1995,1996,3,2,240000
4,1346,384,560,1910,2000,2,1,112000
5,630,0,630,1970,1970,4,0,92000
5,1792,0,896,1974,1974,2,0,136000
8,1578,840,1573,2008,2009,4,0,287090
5,1072,525,547,2005,2005,2,3,145000
5,1140,0,1140,2006,2006,2,0,84500
7,1221,400,1221,2004,2005,3,2,185000
6,1647,460,953,1999,2000,2,2,175000
6,2073,500,1542,1978,1988,2,1,210000
7,2340,252,1152,1941,2006,3,2,266500
5,1078,240,1078,1950,1996,3,1,142125
5,1256,276,1256,1965,1965,2,3,147500
